nome_cliente,email,idade,data_compra,valor_compra,produto_id,ativo,cliente_id
Luiz Felipe Souza,"E-mail ""email_invalido@.com"" inválido",,,9336.0,559-D,False,1c9e51de-198f-413a-a0b4-f6d643589586
Emilly Fogaça,maria-eduarda21@rodrigues.br,53,,99018.0,,False,a6983e5d-0495-4da8-a552-ae92883819ea
Joana Alves,barroskamilly@gmail.com,,1950-02-02,7318.0,,,9862e72d-b012-4970-af28-1c688467e5b3
Miguel Campos,renan56@gmail.com,,1958-01-28,92855.0,929,True,59475764-6358-4ade-b756-f6247292b340
Caio Fernandes,isabellycunha@teixeira.org,,1979-06-18,20964.0,285-T,True,899862f9-a4bd-46e8-ac14-ed7648b5f546
Bernardo Duarte,gomesvicente@hotmail.com,,1981-01-29,889.39,,True,fa2e80c0-9802-4ab0-9ae1-c8c1daf68da0
Luiz Fernando Cardoso,luiz-miguelda-luz@goncalves.br,,1950-03-20,24735.0,480-J,,028efaaf-ae33-4cd8-948c-69ff0fadef3b
Arthur Souza,sofia08@novaes.br,,2001-10-29,19952.0,261,True,46eb259d-a4a4-4ec8-b06d-a736fb89f64b
Nicole Vieira,ufreitas@souza.net,29,2000-04-29,11681.0,,False,e8a53a9c-60d7-43cd-952d-a0ad01afa9bb
Vitória Oliveira,cavalcantiguilherme@monteiro.br,32,1993-07-25,177.9,333-D,True,610db7ba-0403-4773-9e5f-95792e55c734
Stephany Da Mota,fariasleticia@freitas.net,,1944-05-06,644.47,109-G,False,2a63b601-b5f5-4d38-b101-a8180a2e2bf5
Gustavo Aragão,rporto@das.br,33,2002-11-04,588.18,,,242b0758-4ff1-418e-beaf-544141ac41ec
Gustavo Da Rocha,kmoreira@farias.com,22,,900835.0,,False,16770ec0-2f4e-4ae2-bf2e-98b6ef33bda7
João Pedro Fernandes,barbarada-rocha@hotmail.com,35,1981-08-29,21582.0,480-Y,False,bd4d0284-809d-4515-8160-b997edba9064
Alexandre Barbosa,anacosta@hotmail.com,,1981-06-15,679.55,,True,17ea00d2-13b1-4400-9201-1a59125b988f
Fernando Fernandes,bryan02@gmail.com,56,1992-02-17,591.42,,True,ef8e10f7-bb57-4ca2-a3eb-63d28da498a4
