nome_cliente,email,idade,data_compra,valor_compra,produto_id,ativo
LUIZ FELIPE SOUZA,email_invalido@.com,,31-02-2023,R$ 933.6,559-D,não
Emilly Fogaça,maria-eduarda21@rodrigues.br,53,31-02-2023,R$ 990.18,null,0
joana alves,barroskamilly@gmail.com,,1950/02/02,R$ 731.8,,
MIGUEL CAMPOS,renan56@gmail.com,,28/01/1958,9285.5,929,sim
caio fernandes,isabellycunha@teixeira.org,,18/06/1979,R$ 209.64,285-T,1
Dr. Bernardo Duarte,gomesvicente@hotmail.com,,29/01/1981,"889,39",,yes
Luiz Fernando Cardoso,luiz-miguelda-luz@goncalves.br,,1950/03/20,R$ 247.35,480-J,
Arthur Souza,sofia08@novaes.br,,2001-10-29,199.52,261,true
Nicole Vieira,ufreitas@souza.net,29,29/04/2000,R$ 116.81,null,no
Vitória Oliveira,cavalcantiguilherme@monteiro.br,32,25/07/1993,"177,90",333-D,true
Dra. Stephany Da Mota,fariasleticia@freitas.net,,06/05/1944,"644,47",109-G,0
Gustavo Aragão,rporto@das.br,33,2002-11-04,"588,18",null,
gustavo da rocha,kmoreira@farias.com,22,31-02-2023,9008.35,null,não
joão pedro fernandes,barbarada-rocha@hotmail.com,35,1981-08-29,R$ 215.82,480-Y,false
alexandre barbosa,anacosta@hotmail.com,,1981/06/15,"679,55",null,sim
Fernando Fernandes,bryan02@gmail.com,56,1992/02/17,"591,42",,1
DRA. ANA SOPHIA NOVAES,paulopires@yahoo.com.br,,1998-02-26,8023.43,604,não
CAUÊ TEIXEIRA,alexiada-rocha@teixeira.br,,08/01/1943,R$ 258.95,null,1
alexia gonçalves,silveiravitor-hugo@pereira.br,,19/09/2004,7739.96,null,não
Isis Monteiro,vitor72@ig.com.br,,1964/12/08,7134.61,null,no
Dr. Luiz Felipe Teixeira,smelo@gomes.net,,31-02-2023,"899,58",,sim
SR. HENRIQUE MOURA,sda-conceicao@alves.com,69,09/09/1950,9764.48,749-H,no
Guilherme Nogueira,davi-lucasda-cunha@rezende.com,,1980-07-25,"943,19",480,false
DRA. LARA JESUS,email_invalido@.com,61,2022-03-13,R$ 864.7,891,yes
Fernando Da Conceição,email_invalido@.com,49,2017-11-13,"21,89",152-V,true
DRA. BRENDA DUARTE,da-luzsabrina@freitas.net,,2022-04-10,"715,34",251,0
Gabriel Da Mota,isabelly13@uol.com.br,68,2003/03/01,4337.41,172,sim
Sra. Juliana Campos,srocha@lopes.org,,1997-08-07,R$ 360.19,888-A,false
Henrique Campos,fariassophie@cavalcanti.org,,1974/12/25,4517.59,742-T,true
Ana Clara Alves,joana38@da.org,,14/03/1995,7742.13,,yes
Maria Sophia Ramos,livia45@bol.com.br,,03/09/1990,R$ 423.19,null,yes
MATHEUS RODRIGUES,isantos@gmail.com,,31-02-2023,209.62,,0
Erick Novaes,novaesevelyn@mendes.br,,2022-03-27,R$ 8.13,,0
Miguel Pires,anthony60@rocha.org,,1986/10/22,R$ 233.42,,true
SRA. ISABELLY DA ROCHA,paulo72@silva.br,,31-02-2023,R$ 64.39,null,sim
ana clara da paz,email_invalido@.com,,31-02-2023,"527,60",591-D,0
Vitor Cavalcanti,joao-pedro37@martins.com,,06/02/1962,R$ 423.76,,1
lucca oliveira,isabelcardoso@fernandes.com,64,06/09/1994,R$ 461.5,,1
Luna Correia,pedro-lucascunha@bol.com.br,38,13/11/1952,"857,98",163,yes
Maria Clara Moraes,pedro-lucas41@porto.com,,1975/05/19,R$ 538.1,284,
antônio souza,alana60@da.org,23,10/04/1949,R$ 759.79,588,yes
Esther Nunes,matheus55@bol.com.br,,31-02-2023,"74,58",null,
davi luiz barbosa,bryancavalcanti@gmail.com,,1994/06/23,R$ 566.36,null,yes
sr. joão lucas da rosa,vianaluiz-miguel@gmail.com,,13/04/1950,R$ 711.23,null,false
sr. kaique correia,anthonycunha@da.br,54,1958/04/15,R$ 690.1,643-H,true
JOÃO VITOR JESUS,caue28@bol.com.br,,31-02-2023,1823.88,null,no
henrique fogaça,samuelmartins@moreira.com,,04/08/1969,R$ 172.9,,
LÍVIA RAMOS,marianaaraujo@yahoo.com.br,,17/07/2002,R$ 697.73,,yes
dra. bianca almeida,email_invalido@.com,,31-02-2023,R$ 100.69,null,1
BERNARDO CASTRO,pedro-lucas24@moreira.com,,03/07/1990,"971,99",806,
DRA. BÁRBARA ROCHA,castroraquel@bol.com.br,,31-02-2023,R$ 206.66,725,não
LETÍCIA DA LUZ,rduarte@oliveira.br,,2019-07-28,R$ 318.5,583,no
Sarah Das Neves,zda-mata@das.br,69,31-02-2023,2655.21,599-O,sim
dra. larissa vieira,moraesenzo-gabriel@gmail.com,,14/12/1990,"438,85",463,false
Lorenzo Melo,email_invalido@.com,26,2018-06-28,R$ 772.32,438,yes
NATHAN CARDOSO,email_invalido@.com,,30/03/1999,R$ 177.51,null,não
ALEXIA CALDEIRA,email_invalido@.com,59,03/07/2000,"692,25",,false
leonardo duarte,klima@hotmail.com,,1965/09/07,"622,4",632,false
Stella Moreira,claricecostela@lima.com,24,31-02-2023,R$ 382.5,720,false
VICENTE DA COSTA,gomesgustavo-henrique@bol.com.br,58,16/01/1935,"389,15",,1
Murilo da Costa,rafaelada-cunha@da.br,,1998-02-26,R$ 971.66,null,sim
gabrielly araújo,marina08@yahoo.com.br,,1951/08/06,R$ 19.64,901,false
Melissa Aragão,email_invalido@.com,67,1996-07-28,R$ 894.55,260,
Maria Alice Duarte,hazevedo@hotmail.com,29,31-02-2023,"123,47",,0
srta. daniela cardoso,email_invalido@.com,,1970-11-02,339.94,904,yes
Dr. Davi Da Costa,zdas-neves@hotmail.com,,24/01/1968,6878.76,null,sim
Brenda Caldeira,thalesmoreira@da.br,,1996-10-31,923.92,,false
Nicole Ferreira,joaquim09@uol.com.br,,2003-05-07,"576,84",300,sim
Guilherme Da Rocha,sda-conceicao@uol.com.br,30,2009-11-25,4118.84,339,1
DR. PAULO CARDOSO,ana-sophia95@teixeira.br,,1939/03/28,686.3,,0
João Felipe Jesus,bsantos@fogaca.net,,2011-06-28,6352.16,719-Q,1
SR. LUIZ MIGUEL CASTRO,vitor-gabriel58@bol.com.br,27,27/03/1959,6231.88,763-Y,true
Srta. Laís Rocha,isadora24@yahoo.com.br,,10/01/2002,"302,4",,não
dr. lucca viana,beatriz85@bol.com.br,25,1973-01-12,R$ 236.22,,não
Raquel Aragão,email_invalido@.com,54,31-02-2023,R$ 621.88,,no
daniela costa,pintoisabella@uol.com.br,,31-02-2023,R$ 731.59,868,no
bianca nunes,pfarias@hotmail.com,,31-02-2023,8555.21,134,false
PEDRO HENRIQUE FOGAÇA,uda-mata@goncalves.br,,1975/10/11,R$ 366.68,,
Carlos Eduardo Pires,email_invalido@.com,46,2003/06/24,"364,38",490,0
Joana Silveira,costacaio@duarte.net,,2005-09-13,"432,15",,false
fernanda da cunha,fda-luz@gmail.com,,08/03/1966,1890.16,,sim
dr. pedro miguel costa,pirescaue@almeida.com,,15/08/1937,8676.42,,false
ENRICO CUNHA,alvesjoaquim@duarte.br,48,16/10/1982,219.68,,false
ANA CLARA MOURA,sdas-neves@da.com,,1989-02-04,"622,97",null,
sr. eduardo correia,matheus93@dias.com,55,31-02-2023,338.36,,false
MURILO NOVAES,diogofernandes@almeida.com,,2018-10-25,R$ 208.37,656,sim
renan rezende,moreirayago@hotmail.com,59,2016-04-09,5353.26,null,1
